1,e1,n1,n2,5,12
2,e2,n1,n3,3,13
3,e3,n1,n4,3,5
4,e4,n1,n5,0,16
5,e5,n1,n108,2,18
6,e6,n1,n6,2,16
7,e7,n2,n108,5,3
8,e8,n3,n108,1,3
9,e9,n5,n6,2,16
10,e10,n6,n13,2,9
11,e11,n6,n16,2,9
12,e12,n6,n21,4,4
13,e13,n6,n108,1,8
14,e14,n7,n13,1,12
15,e15,n7,n14,1,12
16,e16,n8,n15,1,17
17,e17,n9,n16,1,12
18,e18,n10,n17,1,17
19,e19,n11,n18,1,12
20,e20,n12,n19,1,12
21,e21,n13,n14,2,9
22,e22,n14,n15,2,9
23,e23,n14,n22,2,9
24,e24,n15,n22,0,9
25,e25,n15,n108,2,3
26,e26,n16,n17,2,9
27,e27,n17,n18,2,9
28,e28,n17,n23,2,9
29,e29,n18,n23,0,9
30,e30,n18,n24,2,9
31,e31,n18,n19,2,9
32,e32,n19,n20,2,3
33,e33,n19,n24,0,9
34,e34,n20,n107,3,3
35,e35,n25,n33,2,9
36,e36,n25,n36,2,9
37,e37,n26,n33,1,15
38,e38,n27,n34,1,14
39,e39,n28,n35,1,17
40,e40,n29,n36,1,13
41,e41,n30,n37,1,13
42,e42,n31,n38,1,14
43,e43,n32,n39,1,13
44,e44,n33,n34,2,9
45,e45,n34,n35,2,9
46,e46,n35,n40,2,3
47,e47,n35,n41,0,9
48,e48,n36,n37,2,9
49,e49,n37,n38,2,9
50,e50,n37,n42,2,9
51,e51,n38,n42,0,9
52,e52,n38,n39,2,9
53,e53,n39,n109,2,3
54,e54,n25,n109,2,25
55,e55,n40,n109,3,3
56,e56,n43,n44,1,4
57,e57,n44,n52,1,9
58,e58,n45,n52,1,15
59,e59,n46,n53,1,16
60,e60,n47,n54,1,14
61,e61,n48,n55,1,15
62,e62,n49,n56,1,17
63,e63,n50,n57,1,16
64,e64,n51,n58,1,16
65,e65,n52,n53,2,9
66,e66,n52,n56,1,9
67,e67,n53,n54,2,9
68,e68,n54,n55,2,9
69,e69,n54,n62,0,9
70,e70,n55,n62,2,9
71,e71,n55,n60,2,3
72,e72,n56,n57,2,9
73,e73,n57,n58,2,9
74,e74,n57,n63,0,9
75,e75,n58,n63,2,9
76,e76,n58,n59,1,9
77,e77,n58,n61,2,9
78,e78,n59,n61,3,9
79,e79,n59,n110,1,9
80,e80,n61,n109,3,3
81,e81,n64,n65,1,4
82,e82,n64,n73,1,9
83,e83,n66,n74,1,15
84,e84,n67,n75,1,15
85,e85,n68,n76,1,17
86,e86,n69,n73,1,9
87,e87,n70,n77,1,16
88,e88,n71,n78,1,19
89,e89,n72,n79,1,17
90,e90,n73,n74,2,9
91,e91,n73,n77,2,9
92,e92,n74,n75,2,9
93,e93,n75,n76,2,9
94,e94,n75,n83,0,9
95,e95,n76,n81,2,3
96,e96,n76,n83,2,9
97,e97,n77,n78,2,9
98,e98,n78,n79,2,9
99,e99,n78,n84,0,9
100,e100,n79,n80,1,9
101,e101,n79,n82,2,9
102,e102,n79,n84,2,9
103,e103,n80,n82,3,9
104,e104,n80,n111,1,9
105,e105,n85,n86,1,4
106,e106,n85,n89,1,11
107,e107,n87,n88,1,11
108,e108,n88,n89,2,10
109,e109,n88,n93,2,4
110,e110,n88,n103,2,10
111,e111,n89,n90,2,10
112,e112,n89,n97,2,3
113,e113,n89,n104,0,10
114,e114,n89,n103,0,10
115,e115,n90,n94,2,4
116,e116,n90,n104,2,10
117,e117,n91,n93,1,3
118,e118,n92,n94,1,3
119,e119,n93,n101,1,3
120,e120,n94,n102,1,3
121,e121,n95,n96,1,6
122,e122,n95,n97,1,6
123,e123,n97,n98,2,21
124,e124,n97,n100,2,21
125,e125,n97,n105,0,21
126,e126,n97,n106,0,21
127,e127,n98,n99,1,15
128,e128,n98,n105,2,21
129,e129,n98,n101,2,4
130,e130,n100,n102,2,4
131,e131,n100,n106,2,21
132,e132,n21,n25,1,4
133,e133,n25,n43,4,4
134,e134,n40,n60,3,3
135,e135,n60,n81,3,3
136,e136,n61,n82,3,3
137,e137,n44,n65,4,4
138,e138,n81,n91,4,12
139,e139,n82,n92,4,12
140,e140,n64,n86,4,4
141,e141,n85,n96,4,2
